Instructor,Course,Readiness,Frequency,Total
Sturton,COMP 637 Formal Methods for Systems Security,4,4,8
Sturton,COMP 311 Computer Organization,3,3,6
Sturton,COMP 541 Digital Logic and Computer Design,3,3,6
Sturton,COMP 520 Compilers,2,3,5
Sun,COMP 550 Algorithms and Analysis,4,4,8
Sun,COMP 283 Discrete Structures,4,3,7
Sun,COMP 455 Models of Languages and Computation,4,3,7
Sun,COMP 110 Introduction to Programming and Data Science,3,2,5
Sun,COMP 116 Introduction to Scientific Programming,3,2,5
Szafir,COMP 790-173 Special Topics: Special Topics in HCI,4,4,8
Yao,COMP 790-183 Special Topics: Transfer Learning,4,4,8
