CourseID,Subject,Start Date,Start Time,End Date,End Time,Description,Location,Weekly Repeats
COMP 550,COMP 550 Sec 2,2025-08-21,14:00,2025-08-21,15:15,Instructor: Sun,SN-0014,Yes
COMP 560,COMP 560 Sec 1,2025-08-19,12:30,2025-08-19,13:45,Instructor: Silva,SN-0014,Yes
COMP 560,COMP 560 Sec 1,2025-08-21,12:30,2025-08-21,13:45,Instructor: Silva,SN-0014,Yes
COMP 562,COMP 562 Sec 1,2025-08-18,10:10,2025-08-18,11:25,Instructor: Bertasius,SN-0014,Yes
COMP 562,COMP 562 Sec 1,2025-08-20,10:10,2025-08-20,11:25,Instructor: Bertasius,SN-0014,Yes
COMP 572,COMP 572 Sec 1,2025-08-19,15:30,2025-08-19,16:45,Instructor: Singh,FB-F009,Yes
COMP 572,COMP 572 Sec 1,2025-08-21,15:30,2025-08-21,16:45,Instructor: Singh,FB-F009,Yes
COMP 581,COMP 581 Sec 1,2025-08-18,14:30,2025-08-18,15:20,Instructor: Alterovitz,SN-0011,Yes
COMP 581,COMP 581 Sec 1,2025-08-20,14:30,2025-08-20,15:20,Instructor: Alterovitz,SN-0011,Yes
COMP 581,COMP 581 Sec 1,2025-08-22,14:30,2025-08-22,15:20,Instructor: Alterovitz,SN-0011,Yes
COMP 590,COMP 590 Sec 59,2025-08-19,11:00,2025-08-19,12:15,Instructor: Stotts,SN-0014,Yes
COMP 590,COMP 590 Sec 59,2025-08-21,11:00,2025-08-21,12:15,Instructor: Stotts,SN-0014,Yes
COMP 590,COMP 590 Sec 80,2025-08-19,15:30,2025-08-19,16:45,Instructor: Mayer-Patel,FB-F007,Yes
COMP 590,COMP 590 Sec 80,2025-08-21,15:30,2025-08-21,16:45,Instructor: Mayer-Patel,FB-F007,Yes
COMP 590,COMP 590 Sec 158,2025-08-22,09:00,2025-08-22,11:00,Instructor: Chaturvedi,FB-F141,Yes
COMP 590,COMP 590 Sec 159,2025-08-18,12:20,2025-08-18,13:10,Instructor: Munsell,FB-F009,Yes
COMP 590,COMP 590 Sec 159,2025-08-20,12:20,2025-08-20,13:10,Instructor: Munsell,FB-F009,Yes
COMP 590,COMP 590 Sec 159,2025-08-22,12:20,2025-08-22,13:10,Instructor: Munsell,FB-F009,Yes
COMP 590,COMP 590 Sec 173,2025-08-18,14:30,2025-08-18,15:45,Instructor: Kandel,FB-F009,Yes
COMP 590,COMP 590 Sec 173,2025-08-20,14:30,2025-08-20,15:45,Instructor: Kandel,FB-F009,Yes
COMP 590,COMP 590 Sec 175,2025-08-19,11:00,2025-08-19,12:15,Instructor: Chakravarthula,FB-F007,Yes
COMP 590,COMP 590 Sec 175,2025-08-21,11:00,2025-08-21,12:15,Instructor: Chakravarthula,FB-F007,Yes
COMP 590,COMP 590 Sec 177,2025-08-19,12:30,2025-08-19,13:45,Instructor: Sengupta,FB-F009,Yes
COMP 590,COMP 590 Sec 177,2025-08-21,12:30,2025-08-21,13:45,Instructor: Sengupta,FB-F009,Yes
COMP 590,COMP 590 Sec 187,2025-08-18,14:30,2025-08-18,15:45,Instructor: Pothukuchi,SN-0014,Yes
COMP 590,COMP 590 Sec 187,2025-08-20,14:30,2025-08-20,15:45,Instructor: Pothukuchi,SN-0014,Yes
