CourseID,Sec,EnrollCapacity,ProfessorName
COMP 790,185,25,Kwong
COMP 590,80,30,Mayer-Patel
COMP 590,159,80,Munsell
COMP 590,177,60,Sengupta
COMP 590,59,90,Stotts
COMP 790,173,30,Szafir
COMP 790,183,40,Yao
COMP 790,188,30,Len
COMP 790,189,40,Deng
COMP 790,150,30,Chen
COMP 590,173,30,Kandel
COMP 790,186,25,Ding
